Epoch,Training Loss,Training Accuracy,Training Precision,Training Recall,Validation Loss,Validation Accuracy,Validation Precision,Validation Recall
1,0.6539917473088611,0.6103111111111111,0.6103114974754077,0.6103111111111111,0.5631045868879632,0.7044,0.7044474693222071,0.7044
2,0.5058465688277713,0.7573333333333333,0.757333819545736,0.7573333333333333,0.5524161627775506,0.728,0.7297432002468597,0.728
3,0.39371235526844184,0.8302222222222222,0.8302935125092853,0.8302222222222222,0.5691334382642673,0.7228,0.7230994572911751,0.7228
4,0.30953205890678376,0.8741777777777778,0.8742276236180778,0.8741777777777778,0.6361662564398367,0.7156,0.7293239202657807,0.7156
5,0.2508551031721502,0.9003111111111111,0.9003131864208251,0.9003111111111111,0.7001527074394347,0.72,0.7235273151511492,0.72
6,0.20894987242751417,0.9176888888888889,0.9177368078253401,0.9176888888888889,0.7442719347869293,0.7188,0.7189781156043584,0.7188
7,0.17164727892933032,0.9353333333333333,0.9353376363762784,0.9353333333333333,0.8889353618591647,0.7108,0.7115317834958246,0.7108
8,0.16137745304149576,0.9374666666666667,0.937469645262346,0.9374666666666667,0.9578250559824931,0.7044,0.7044652052353447,0.7044
9,0.1302082343463553,0.9505333333333333,0.9505356070524534,0.9505333333333333,1.2419829804691946,0.7112,0.7131413314204359,0.7112
10,0.11424407500056656,0.9562666666666667,0.9562876216933738,0.9562666666666667,0.8444140251678757,0.7036,0.7040470512820514,0.7036
