Epoch,Training Loss,Training Accuracy,Training Precision,Training Recall,Validation Loss,Validation Accuracy,Validation Precision,Validation Recall
1,0.6141522427682172,0.6470666666666667,0.6471490672958874,0.6470666666666667,0.5347337964214857,0.72,0.7349203250947453,0.72
2,0.4455897960684855,0.7953777777777777,0.7955584784377769,0.7953777777777777,0.5842243372639523,0.7012,0.7229679206560164,0.7012
3,0.3368697118712589,0.8603111111111111,0.8603194587734767,0.8603111111111111,0.5825156980677496,0.7124,0.7124144801188688,0.7124
4,0.26145130006427114,0.8976,0.897617684119263,0.8976,0.6552267795122122,0.6976,0.7115741298577993,0.6976
5,0.20395286996922965,0.9220444444444444,0.9220497061145271,0.9220444444444444,0.7776394294032568,0.7016,0.7019322489880667,0.7016
6,0.18688052764363502,0.9283111111111111,0.9283111817764269,0.9283111111111111,0.7510349154472351,0.6964,0.699038550968851,0.6964
7,0.1510377522235186,0.9432,0.9432,0.9432,0.9886487167847308,0.6976,0.7020081579281914,0.6976
8,0.13082649669641713,0.9544888888888889,0.9544890496736412,0.9544888888888889,0.9398912476210655,0.6996,0.6995949801766367,0.6996
9,0.11218401065509004,0.9610222222222222,0.9610222184735069,0.9610222222222222,1.1194968370697167,0.7032,0.7033241976775145,0.7032
10,0.09666694109050282,0.9662666666666667,0.9662666806329693,0.9662666666666667,1.269773486294324,0.696,0.6988225448272065,0.696
