Model Directory,Epoch,Accuracy,Precision,Eps,Gamma
wiener8,1,0.69512,0.6951315093247357,1e-05,0.2
wiener8,2,0.68444,0.6970744930471298,1e-05,0.2
wiener8,3,0.68668,0.6867051230413566,1e-05,0.2
wiener8,4,0.68436,0.6858493652934089,1e-05,0.2
wiener8,5,0.67576,0.6785844156844073,1e-05,0.2
wiener8,6,0.67432,0.6753980949142762,1e-05,0.2
wiener8,7,0.675,0.6756238439936805,1e-05,0.2
wiener8,8,0.66772,0.6712433374212178,1e-05,0.2
wiener8,9,0.67428,0.6742800903467988,1e-05,0.2
wiener8,10,0.67244,0.6726548998244657,1e-05,0.2
